topics,Cluster,Top_Words,Metadata,2013-03-01,2013-03-02,2013-03-03,2013-03-04,2013-03-05,2013-03-06,2013-03-07,2013-03-08,2013-03-09,2013-03-10,2013-03-11,2013-03-12,2013-03-13,2013-03-14,2013-03-15,2013-03-16,2013-03-17,2013-03-18,2013-03-19,2013-03-20,2013-03-21,2013-03-22,2013-03-23,2013-03-24,2013-03-25,2013-03-26,2013-03-27,2013-03-28,2013-03-29,2013-03-30,2013-03-31,2013-04-01,2013-04-02,2013-04-03,2013-04-04,2013-04-05,2013-04-06,2013-04-07,2013-04-08,2013-04-09,2013-04-10,2013-04-11,2013-04-12,2013-04-13,2013-04-14,2013-04-15,2013-04-16,2013-04-17,2013-04-18,2013-04-19,2013-04-20,2013-04-21,2013-04-22,2013-04-23,2013-04-24,2013-04-25,2013-04-26,2013-04-27,2013-04-28,2013-04-29,2013-04-30
X1,1,vienna austria wacker austrian salzburg st wiener rapid neustadt mattersburg wac admira innsbruck modling ried graz sturm sc stronach ,,NA,0.0020580758,0.0038985667,0.0060098729,0.0048147367,0.0028798216,0.0036456085,0.0019528597,0.0006604945,0.0007433795,0.0025823443,0.0020639683,0.0031488247,0.0057031518,0.0047678792,0.0001952197,0.0009320854,0.0021239733,0.0018417191,0.0039074485,0.0026058593,0.0021153434,0.0016380665,0.0002977619,0.0023667124,0.0005186658,0.002532813,0.0069863607,0.0017895067,0.000778574,0.0045239872,0.0032621477,0.000395937,0.0035954456,0.0016097668,0.0014572175,0.0004336869,0.0012158726,0.0022385232,0.0009515052,0.0033936903,0.0043543984,0.0014239125,0.0019505825,0.0005876446,0.0013748476,0.0022619083,0.0034324626,0.0008034683,0.0012033001,0.0011229605,0.0011115779,0.0022687697,0.0020981221,0.0032226488,0.000557855,0.0009991362,0.0004940025,0.0006756001,0.0034800364,0.0045346972
X2,2,sudan south border oil peace khartoum rebels war bashir sudanese army darfur farc state juba president north agreed colombia ,,NA,0.0067142718,0.0074201526,0.0115124828,0.0111878126,0.0122721788,0.0146932625,0.0112773745,0.0066219288,0.0059294303,0.0100550638,0.0121823588,0.0120990444,0.0125365432,0.0104413537,0.0043284823,0.0041922108,0.0089393096,0.0150864466,0.0157736481,0.0128205591,0.0091194767,0.0063811516,0.0066331755,0.0154765274,0.0100112747,0.0090428443,0.0126652978,0.011393651,0.0052099475,0.0042903852,0.0051766637,0.0070126067,0.0105718285,0.0101290383,0.0104418439,0.0083924412,0.005821942,0.0106917514,0.0105435006,0.0098327577,0.0105885927,0.0110679452,0.0055015896,0.0037760398,0.0069068921,0.0096705957,0.0101371317,0.0119979061,0.011743246,0.0091728692,0.0056045195,0.010642977,0.0134791123,0.0081822315,0.0097906357,0.0099446495,0.0061223207,0.0052847977,0.0052960855,0.0109112697
X3,2,zagreb austria nk sweden split dnf germany switzerland france march italy sports infostrada iditarod alaska cibalia koprivnica belupo slaven ,,NA,7.16217924394553E-005,0.0039630974,0.001357543,0.0008328749,0.0003180942,0.0025034342,0.0008821121,0.0002138261,0.0011778061,0.0010478056,0.0025347721,0.0490192796,0.0314404345,0.0121396109,0.0086932985,0.0021341468,0.0078530583,0.0077835558,0.0013232943,0.0021462157,0.0011499255,0.0034206415,0.0009587811,0.0003388918,0.0010554628,0.0010659246,0.0032845135,0.0018868474,0.0006342466,0.002393575,0.0004216275,0.0013377976,0.0014189505,0.0003148761,0.0032223447,0.0001173697,0.0009361365,0.0009053374,0.0004676593,0.0007372576,0.0012155658,0.0008442726,0.0017139339,0.0009736704,0.0013732605,0.0002017833,0.0002265386,0.0020492999,0.0004867936,0.000210098,0.000278778,0.000382421,0.0019475602,0.0013731159,0.0013564818,0.0002240061,8.32246435645983E-005,0.0010478815,0.0001947224,0.0051075477
X4,3,women valle men girls declaration sexual kidnap online female woman violence role york jury real jurors tanzania fantasy rape ,,NA,0.007364524,0.0048233816,0.0012007179,0.0025306323,0.000441992,0.0001457167,0.0042307137,0.0114539839,0.0180794344,0.0053720077,0.0019342137,0.0018405623,0.000800524,0.0014017736,0.0012298863,0.0011782829,0.0055623506,0.002722433,0.0047409972,0.0010521409,0.000260817,0.0052200889,0.013596221,0.011014202,0.0012258127,0.0108139857,0.0007705385,0.0014041357,0.0027372468,0.0035102049,0.0003800667,0.0028946725,0.0071802266,0.0022612186,0.0004461285,0.005268113,0.0028962188,0.0057339346,0.0040112169,0.0003234965,0.0012452244,0.000308021,4.74339319660097E-005,0.00004114,0.0026486534,0.0031080246,0.0001376963,0.0018546133,0.0004771581,0.0002185134,0.0007431505,0.014020933,0.0031789227,0.0049638412,0.0008929407,0.0006199447,0.0041535286,0.0010884407,0.0030003465,0.0015041619
X5,3,percent index points dow stocks high year market investors shares record york stock industrial jones rose average gains standard ,,NA,0.0002054687,0.0023633919,0.0079533885,0.0022788307,0.0012031288,0.0018581432,0.0002682852,7.61105181932667E-005,2.04084150947311E-005,0.0007173065,0.0002777904,0.0004438213,0.0011639113,0.0018993659,0.0003011344,1.78181638266332E-005,6.49612238569322E-005,0.0004564623,6.940689806062E-005,0.0015106023,5.28664618897725E-005,2.55221865491602E-005,9.60507934789669E-005,2.43733495934372E-005,8.65253760048912E-005,0.0002729822,0.0024937405,0.000154557,2.1179319201237E-005,2.06300570998667E-005,0.0001332531,0.0008197788,0.0008814872,0.0025967926,0.0002730273,2.81434771930731E-005,0.0003117093,0.0010787425,0.001571153,0.0013246711,0.0081524596,0.0012391147,0.0011078138,2.40149256297758E-005,0.0004170292,0.0004124544,0.0003142252,0.0023202702,0.0002141341,5.34558656529793E-005,0.0001949846,0.000151719,0.0001089549,0.000536621,0.002382842,0.0007750292,0.0001299716,0.0002766232,0.0004558675,0.0001777615
X6,3,military russell army defense mental murder base shooting hasan bales death trial assault stress guilty martial prosecutors plea hearing ,,NA,0.0002028157,9.69901796488278E-005,0.0001398284,0.0003353221,0.0005105991,0.0002662966,0.0003283227,0.000386783,8.60380907475464E-005,0.0001678878,0.0002210931,0.0001743105,0.0006034344,0.0008078144,0.0002258949,0.0001387567,0.0009327198,0.0007981968,0.0007548219,0.0002707066,0.0001484997,0.000078126,0.0001419426,0.000287389,0.0003438569,0.0002233866,0.000081506,0.0003024248,7.376347586433E-005,6.31506985343161E-005,0.0003967382,0.0004189977,0.000357919,0.0004933551,0.0003532296,0.0001158149,0.000075935,0.0001543456,0.0008403058,0.000133578,0.0003104539,0.0003653168,6.9671365439093E-005,0.0004574118,0.0493395496,0.075001303,0.0530899116,0.0359097437,0.0056191209,0.0092338276,0.0036608244,0.0105781313,0.0095767615,0.0049585337,0.0046201914,0.00231185,0.0003036152,0.0007911071,0.0018996703,0.0034924304
X7,4,city manchester united arsenal chelsea west tottenham liverpool hotspur villa everton reading southampton aston swansea albion wigan bromwich fulham ,,NA,7.42584574658856E-005,0.0002762446,0.0019176246,0.0003145084,0.0004406077,0.0038010319,0.0017818399,0.0021463555,4.24337755328518E-005,0.0049553077,0.0022203641,0.0012362235,0.0004122863,0.0024305167,0.001925131,0.0007778013,0.0004911415,0.0009126459,0.0005031957,0.0003406551,0.0013280702,0.0027208831,8.26576577995031E-005,0.0025249329,0.0011946551,0.0009120307,0.0011620221,0.0048101992,0.0001240253,0.0009552132,4.20778080240192E-005,0.0005809409,0.0001062909,0.0015790981,0.0005970631,0.0009239914,0.0006783611,0.0003313617,0.0010324263,0.0004202832,0.0008095556,0.0007977725,0.0011365213,0.0001004816,0.0006694698,0.0020885255,0.0040173175,0.0082951235,0.0140314573,0.0040820474,0.0010238381,0.0051192367,0.0055105849,0.0183598185,0.0059527773,0.0040691424,0.0158079792,0.023812447,0.0120385541,0.0036432633
X8,4,japan china japanese abe tokyo islands sea south minister war shrine asian chinese east beijing territorial prime dispute foreign ,,NA,0.0018525935,0.0022873731,0.0057510537,0.0019649839,0.0016215716,0.0019756435,0.0025911737,0.0036338708,0.0040583935,0.0021346333,0.0014658023,0.0014402213,0.0029038306,0.003113837,0.0037876133,0.0018304688,0.0031699887,0.0032201465,0.0015647147,0.0020132505,0.0014012467,0.0027113565,0.0074428863,0.0026007923,0.0026771112,0.0019398385,0.0016955681,0.0040589469,0.0038860145,0.0049757816,0.0032245849,0.0039454642,0.0039122909,0.0041774776,0.0034612855,0.006715418,0.0025312447,0.0033044191,0.0071345901,0.0019282399,0.005007614,0.0038399141,0.0046384412,0.0050501348,0.0022573974,0.0041556203,0.0034606365,0.0038276944,0.0032704569,0.0043773318,0.0043640775,0.0027563272,0.0042413978,0.0046103827,0.0040337316,0.0051675079,0.005259487,0.0062358818,0.0089798164,0.0002249616
X9,4,points league win season games home champions place top game sunday bottom saturday fourth point title victory relegation goal ,,NA,0.0002253662,0.0015364667,0.0001966229,0.0017260235,0.0085471418,0.0124477644,0.0183455795,0.000217932,0.0004414673,0.0008990041,0.0008472321,0.0004580032,0.0063125566,0.0012528771,0.0002872641,4.86385692760953E-005,0.0002118311,0.0002674237,0.0020647875,0.0044090853,0.0006272824,0.0001795094,8.46101954789485E-005,0.0003384071,0.0001735817,0.0001839566,0.0031919336,0.000734317,6.37881080517344E-005,0.0012863658,0.0005018239,0.0020323714,0.0035845202,0.0085514089,0.0151023095,0.0004741675,0.000661613,0.0008541687,0.0003729507,0.0010942283,0.0087335653,0.001101299,0.0001707679,5.38852376701261E-005,0.0003467339,0.0001342789,0.0004571798,0.0043871059,0.0009263702,0.0006469168,0.0002254045,0.0003827646,0.0001239066,0.000159173,0.0054816401,0.0005941598,0.0001244344,0.0004095129,0.0003441081,0.0021690839
X10,4,bank central rate policy rates ecb economy interest inflation monetary currency banks percent cut economic year growth financial meeting ,,NA,0.00238516,0.0078701931,0.004255791,0.0014066332,0.0019884395,3.48598496695413E-005,0.0021599583,4.1125826466384E-005,0.0080516457,0.0010306729,0.0149425952,0.0127367452,0.0085431623,0.0077321183,0.0001831747,0.0080746928,0.0017785395,0.0049453874,0.0156559218,0.0140709096,0.0068609026,0.0017499758,0.01017893,0.000034512,0.0007550259,3.47407631072741E-005,0.0050084682,0.0003582069,0.0003374098,0.0032014208,0.001303764,0.0014568744,0.0012684801,0.0018814819,0.0015002225,0.0002172266,0.0019775123,0.000625773,0.0003947452,0.0011282253,2.76716595254684E-005,4.43311558701481E-005,0.0032635415,2.7951618394275E-005,9.48065163466622E-005,0.0008185323,0.0039696363,0.0039597632,0.002603506,0.0048423922,0.001302567,8.42510521306702E-005,0.0008168588,0.001320939,0.0047123937,0.004608167,0.0034034912,0.0036504115,0.0058832667,8.40031056951656E-005
